Dato,Løb,Etaper,Kategori,Type
4/7 - 26/7,Tour de France,21,Tour de France,Etapeløb
8/5 - 31/5,Giro d'Italia,21,"Giro, Vuelta",Etapeløb
22/8 - 13/9,La Vuelta Ciclista a España,21,"Giro, Vuelta",Etapeløb
21/3,Milano-Sanremo,1,Monuments,Endagsløb
5/4,Ronde van Vlaanderen,1,Monuments,Endagsløb
12/4,Paris-Roubaix,1,Monuments,Endagsløb
26/4,Liège-Bastogne-Liège,1,Monuments,Endagsløb
10/10,Il Lombardia,1,Monuments,Endagsløb
20/1 - 25/1,Santos Tour Down Under,6,Other WorldTour A,Etapeløb
8/3 - 15/3,Paris-Nice,8,Other WorldTour A,Etapeløb
9/3 - 15/3,Tirreno-Adriatico,7,Other WorldTour A,Etapeløb
23/3 - 29/3,Volta Ciclista a Catalunya,7,Other WorldTour B,Etapeløb
6/4 - 11/4,Itzulia Basque Country,6,Other WorldTour B,Etapeløb
28/4 - 3/5,Tour de Romandie,6,Other WorldTour A,Etapeløb
7/6 - 14/6,Tour Auvergne - Rhône-Alpes,8,Other WorldTour A,Etapeløb
17/6 - 21/6,Tour de Suisse,5,Other WorldTour A,Etapeløb
3/8 - 9/8,Tour de Pologne,7,Other WorldTour B,Etapeløb
19/8 - 23/8,Renewi Tour,5,Other WorldTour B,Etapeløb
7/3,Strade Bianche,1,Other WorldTour B,Endagsløb
27/3,E3 Saxo Classic,1,Other WorldTour B,Endagsløb
29/3,In Flanders Fields - From Middelkerke,1,Other WorldTour B,Endagsløb
19/4,Amstel Gold Race,1,Other WorldTour B,Endagsløb
22/4,La Flèche Wallonne,1,Other WorldTour B,Endagsløb
1/8,Donostia San Sebastian Klasikoa,1,Other WorldTour B,Endagsløb
16/8,ADAC Cyclassics,1,Other WorldTour B,Endagsløb
30/8,Bretagne Classic - CIC,1,Other WorldTour B,Endagsløb
11/9,Grand Prix Cycliste de Québec,1,Other WorldTour B,Endagsløb
13/9,Grand Prix Cycliste de Montréal,1,Other WorldTour B,Endagsløb
28/2,Omloop Nieuwsblad,1,Other WorldTour C,Endagsløb
1/4,Dwars door Vlaanderen - A travers la Flandre,1,Other WorldTour C,Endagsløb
16/2 - 22/2,UAE Tour,7,Other WorldTour C,Etapeløb
13/10 - 18/10,Tour of Guangxi,6,Other WorldTour C,Etapeløb
1/2,Mapei Cadel Evans Great Ocean Road Race,1,Other WorldTour C,Endagsløb
25/3,Ronde Van Brugge - Tour of Bruges,1,Other WorldTour C,Endagsløb
1/5,Eschborn-Frankfurt,1,Other WorldTour C,Endagsløb
14/6,Copenhagen Sprint,1,Other WorldTour C,Endagsløb
27/1 - 31/1,AlUla Tour,5,ProSeries races,Etapeløb
4/2 - 8/2,Volta Comunitat Valenciana,5,ProSeries races,Etapeløb
7/2 - 11/2,Tour of Oman,5,ProSeries races,Etapeløb
18/2 - 22/2,Volta ao Algarve em Bicicleta,5,ProSeries races,Etapeløb
18/2 - 22/2,Vuelta a Andalucía Ruta Ciclista del Sol,5,ProSeries races,Etapeløb
7/4 - 10/4,Région Pays de la Loire Tour,4,ProSeries races,Etapeløb
15/4 - 19/4,Tour of Hainan,5,ProSeries races,Etapeløb
20/4 - 24/4,Tour of the Alps,5,ProSeries races,Etapeløb
26/4 - 3/5,Presidential Cycling Tour of Türkiye,8,ProSeries races,Etapeløb
13/5 - 17/5,Tour de Hongrie,5,ProSeries races,Etapeløb
20/5 - 24/5,4 Jours de Dunkerque / Grand Prix des Hauts-de-France,5,ProSeries races,Etapeløb
28/5 - 31/5,Boucles de la Mayenne - Crédit Mutuel,4,ProSeries races,Etapeløb
28/5 - 31/5,Tour of Norway,4,ProSeries races,Etapeløb
1/6 - 5/6,Ethias-Tour de Wallonie,5,ProSeries races,Etapeløb
17/6 - 21/6,Tour of Slovenia,5,ProSeries races,Etapeløb
17/6 - 21/6,Baloise Belgium Tour,5,ProSeries races,Etapeløb
11/7 - 18/7,Tour of Magnificent Qinghai,8,ProSeries races,Etapeløb
29/7 - 2/8,PostNord Tour of Denmark,5,ProSeries races,Etapeløb
4/8 - 8/8,Vuelta a Burgos,5,ProSeries races,Etapeløb
13/8 - 16/8,Czech Tour,4,ProSeries races,Etapeløb
13/8 - 16/8,Arctic Race of Norway,4,ProSeries races,Etapeløb
19/8 - 23/8,Lidl Deutschland Tour,5,ProSeries races,Etapeløb
2/9 - 6/9,Lloyds Tour of Britain,5,ProSeries races,Etapeløb
16/9 - 20/9,Skoda Tour de Luxembourg,5,ProSeries races,Etapeløb
22/9 - 27/9,CRO Race,6,ProSeries races,Etapeløb
27/9 - 4/10,Petronas Le Tour de Langkawi,8,ProSeries races,Etapeløb
29/1,Surf Coast Classic,1,ProSeries races,Endagsløb
6/2,Muscat Classic,1,ProSeries races,Endagsløb
14/2,Figueira Champions Classic,1,ProSeries races,Endagsløb
15/2,Clasica de Almeria,1,ProSeries races,Endagsløb
28/2,Faun-Ardèche Classic,1,ProSeries races,Endagsløb
1/3,Kuurne - Brussel - Kuurne,1,ProSeries races,Endagsløb
1/3,Faun Drôme Classic,1,ProSeries races,Endagsløb
4/3,Trofeo Laigueglia,1,ProSeries races,Endagsløb
18/3,Milano - Torino,1,ProSeries races,Endagsløb
18/3,Danilith Nokere Koerse,1,ProSeries races,Endagsløb
19/3,Grand Prix de Denain - Porte du Hainaut,1,ProSeries races,Endagsløb
20/3,Bredene Koksijde Classic,1,ProSeries races,Endagsløb
4/4,Gran Premio Miguel Indurain,1,ProSeries races,Endagsløb
8/4,Scheldeprijs,1,ProSeries races,Endagsløb
17/4,De Brabantse Pijl - La Flèche Brabançonne,1,ProSeries races,Endagsløb
9/5,Grand Prix du Morbihan,1,ProSeries races,Endagsløb
